PartipantID,Index,Vis,Error,TruePerc,ReportPerc,,Vis,Sum of Errors,Average of Errors,,,
98,1,PieChartContig,3.9188633,1,0.85,,PieChartContig,96.39261196,3.442593284,,,
98,2,PieChartIncrSize,1.5545888,0.828125,0.8,,PieChartIncrSize,74.4904056,2.660371629,,,
98,0,PieChartUncontig,0.57399476,0.8863636,0.9,,PieChartUncontig,80.8523658,2.887584493,,,
47,0,PieChartContig,3.2658377,0.5949367,0.5,,Average By Participant,,,,,
47,1,PieChartContig,4.181759,0.43023255,0.25,,Participant ID,Sum of Errors,Average of Errors,,,
47,2,PieChartContig,3.894196,0.3974359,0.25,,98,6.04744686,2.01581562,,,
47,1,PieChartContig,4.27287,0.4920635,0.3,,47,52.3245504,3.48830336,,,
47,1,PieChartContig,3.3555958,0.6111111,0.51,,46,13.5739684,4.524656133,,,
47,1,PieChartIncrSize,1.2564944,0.6226415,0.6,,45,8.5403142,2.8467714,,,
47,2,PieChartIncrSize,0.048369795,0.59090906,0.6,,32,12.0232364,4.007745467,,,
47,1,PieChartIncrSize,4.045608,0.5138889,0.35,,31,11.9232168,3.9744056,,,
47,0,PieChartIncrSize,2.357552,0.5,0.45,,28,8.0468814,2.6822938,,,
47,0,PieChartIncrSize,4.5104346,0.6666667,0.44,,27,35.9399656,2.395997707,,,
47,2,PieChartUncontig,3.4509888,0.8918919,1,,26,8.3764265,2.792142167,,,
47,0,PieChartUncontig,4.698126,0.45833334,0.2,,25,53.5297995,2.97387775,,,
47,0,PieChartUncontig,5.009362,0.5208333,0.2,,24,41.4095773,2.760638487,,,
47,2,PieChartUncontig,2.9307373,0.725,0.8,,,Average By Participant,,,,
47,2,PieChartUncontig,5.046619,0.7592593,0.43,,,Participant ID,Average of Errors,# Tests Completed,,
46,1,PieChartContig,4.410079,0.35135135,0.14,,,98,2.02,3,,
46,0,PieChartIncrSize,4.6640434,0.60227275,0.35,,,47,3.49,15,,
46,2,PieChartUncontig,4.499846,0.425,0.2,,,46,4.52,3,,
45,0,PieChartContig,1.1179981,0.92045456,0.9,,,45,2.85,3,,
45,2,PieChartIncrSize,3.2404428,0.39325842,0.3,,,32,4.01,3,,
45,1,PieChartUncontig,4.1818733,0.5802469,0.4,,,31,3.97,3,,
32,0,PieChartContig,3.33985,1,0.9,,,28,2.68,3,,
32,2,PieChartIncrSize,4.159587,0.57746476,0.4,,,27,2.40,15,,
32,1,PieChartUncontig,4.5237994,0.37878788,0.15,,,26,2.79,3,,
31,2,PieChartContig,3.8830957,0.2962963,0.15,,,25,2.97,18,,
31,0,PieChartIncrSize,4.0189867,0.73913044,0.9,,,24,2.76,15,,
31,1,PieChartUncontig,4.0211344,0.3611111,0.2,,,,,,,
28,1,PieChartContig,4.330917,0.5,0.3,,,Average by Visualization,,,,
28,0,PieChartIncrSize,3.0803738,0.33333334,0.25,,,Visualization,Average of Errors,# Tests Completed,,
28,2,PieChartUncontig,0.6355906,0.8857143,0.9,,,PieChartIncrSize,2.66,28,,
27,0,PieChartContig,2.3995845,0.8484849,0.9,,,PieChartUncontig,2.89,28,,
27,1,PieChartContig,3.553858,0.47619048,0.36,,,PieChartContig,3.44,28,,
27,1,PieChartContig,3.153437,0.39772728,0.31,,,,,,,
27,2,PieChartContig,1.7900764,0.5833333,0.55,,,,,,,
27,2,PieChartContig,3.33532,0.53968257,0.44,,,,,,,
27,2,PieChartIncrSize,1.790078,0.76666665,0.8,,,,,,,
27,0,PieChartIncrSize,1.8452204,0.7446808,0.71,,,,,,,
27,0,PieChartIncrSize,3.8055136,0.42857143,0.29,,,,,,,
27,1,PieChartIncrSize,3.4242175,0.74390244,0.85,,,,,,,
27,0,PieChartIncrSize,0.169925,0.4,0.39,,,,,,,
27,1,PieChartUncontig,3.0901434,0.81609195,0.9,,,,,,,
27,2,PieChartUncontig,3.2337432,0.51282054,0.42,,,,,,,
27,2,PieChartUncontig,-0.9725259,0.84615386,0.85,,,,,,,
27,0,PieChartUncontig,3.4856741,0.7692308,0.88,,,,,,,
27,1,PieChartUncontig,1.8357004,0.44444445,0.41,,,,,,,
26,2,PieChartContig,3.823224,0.9402985,0.8,,,,,,,
26,1,PieChartIncrSize,3.3718755,0.85227275,0.75,,,,,,,
26,0,PieChartUncontig,1.181327,0.82857144,0.85,,,,,,,
25,0,PieChartContig,3.1660037,0.9885057,0.9,,,,,,,
25,1,PieChartContig,2.9947884,0.73846155,0.66,,,,,,,
25,2,PieChartContig,2.0122454,0.90909094,0.87,,,,,,,
25,1,PieChartContig,1.619353,0.7894737,0.76,,,,,,,
25,1,PieChartContig,4.2946205,0.625,0.82,,,,,,,
25,2,PieChartContig,4.3323793,0.5102041,0.31,,,,,,,
25,1,PieChartIncrSize,-1.0524772,0.8035714,0.8,,Experiment Data Collected,,,,,
25,2,PieChartIncrSize,3.3132186,0.8518519,0.95,,PartipantID,Index,Vis,Error,TruePerc,ReportPerc
25,1,PieChartIncrSize,1.9586207,0.95238096,0.99,,98,0,PieChartUncontig,0.57,0.89,0.9
25,0,PieChartIncrSize,3.5428042,0.7647059,0.88,,47,2,PieChartUncontig,3.45,0.89,1
25,2,PieChartIncrSize,1.4408164,0.9358974,0.91,,47,0,PieChartUncontig,4.70,0.46,0.2
25,0,PieChartIncrSize,3.6193407,0.56164384,0.44,,47,0,PieChartUncontig,5.01,0.52,0.2
25,2,PieChartUncontig,3.6984563,0.9285714,0.8,,47,2,PieChartUncontig,2.93,0.73,0.8
25,0,PieChartUncontig,1.989558,0.93846154,0.9,,47,2,PieChartUncontig,5.05,0.76,0.43
25,0,PieChartUncontig,4.4287295,0.49411765,0.28,,46,2,PieChartUncontig,4.50,0.43,0.2
25,2,PieChartUncontig,3.33985,1,0.9,,45,1,PieChartUncontig,4.18,0.58,0.4
25,0,PieChartUncontig,3.599913,0.88,1,,32,1,PieChartUncontig,4.52,0.38,0.15
25,1,PieChartUncontig,5.231579,0.5744681,0.2,,31,1,PieChartUncontig,4.02,0.36,0.2
24,1,PieChartContig,3.5401437,0.36507937,0.25,,28,2,PieChartUncontig,0.64,0.89,0.9
24,1,PieChartContig,4.4206266,0.6329114,0.42,,27,1,PieChartUncontig,3.09,0.82,0.9
24,0,PieChartContig,2.3708937,0.9404762,0.89,,27,2,PieChartUncontig,3.23,0.51,0.42
24,0,PieChartContig,2.8662484,0.29166666,0.22,,27,2,PieChartUncontig,-0.97,0.85,0.85
24,1,PieChartContig,-0.5873971,0.9054054,0.9,,27,0,PieChartUncontig,3.49,0.77,0.88
24,2,PieChartIncrSize,3.1616511,0.9882353,0.9,,27,1,PieChartUncontig,1.84,0.44,0.41
24,2,PieChartIncrSize,3.8703647,0.625,0.48,,26,0,PieChartUncontig,1.18,0.83,0.85
24,2,PieChartIncrSize,3.9473116,0.74698794,0.9,,25,2,PieChartUncontig,3.70,0.93,0.8
24,2,PieChartIncrSize,-1.0699095,0.9864865,0.99,,25,0,PieChartUncontig,1.99,0.94,0.9
24,2,PieChartIncrSize,3.8175232,0.74025977,0.88,,25,0,PieChartUncontig,4.43,0.49,0.28
24,0,PieChartUncontig,3.5077946,0.7875,0.9,,25,2,PieChartUncontig,3.34,1.00,0.9
24,0,PieChartUncontig,3.544181,0.4054054,0.29,,25,0,PieChartUncontig,3.60,0.88,1
